Area Geografica,Regione,Provincia,Sigla Provincia,Alunni Totali,Percentuale Alunni ITA,Percentuale Alunni NITA,Totale alunni Femmine,Totale Alunni Maschi,Media Alunni per classe,Totale Classi,Percentuali Alunni Femmine,Percentuali Alunni Maschi,ATA titolari,ATA supplenti,Totale ATA,Percentuale ATA titolari,Percentuali ATA Supplenti,Docenti Totali,Docenti titolari,Docenti Supplenti,Percentuali Docenti Titolari,Percentuali Docenti Supplenti,Posti vacanti per Docente Normale,Posti vacanti per Docente Sostegno,Totale Posti vacanti,Punteggio Invalsi Inglese Listening,Punteggio Invalsi Inglese Reading,Punteggio Invalsi Italiano,Punteggio Invalsi Matematica),Participation in life-long learning,Participation in the school system of children aged 4-5,People having completed tertiary education (ISCED 5 6 7 or 8),People not in education employment or training (NEET),People with at least upper secondary education level (25-64 years old),Average annual per capita amount of pension income,Average annual salary of employees,Average disposable income per capita,Bad loan entry rate of bank loans to households,Brain circulation (Italians 25-39 years old),Burglaries reported,Deadly crimes reported,Electricity from renewable sources,Employment rate (20-64 years old),Hospital patient emigration to a different region,Inadequate level of literacy (students in grade 8),Inadequate level of numeracy (students in grade 8),Intentional homicide rate,Irregularities in electric power distribution,Life expectancy at birth,Medical specialists,Municipal councilors under the age of 40,Municipal waste generated,Non-participation rate,Overall Fixed Very High Capacity Network (VHCN) coverage,PM10 Annual average concentration,PM2.5 Annual average concentration,Paid days in the year (employees),Pensioners with a low pension income,Pick-pocketings reported,Prison density,Road accidents mortality rate (15-34 years old),Road mortality in non-urban roads,Robberies reported,Seat-Km of public transport networks,Separate collection of municipal waste,Separate collection service for municipal waste,Soil sealing from artificial land cover,Spread of agritourism farms,Urban green,Voter turnout (Regional Councils),Women municipal councilors,Youth's employment rate (15-29 years old),Youth's non-participation rate,codice_provincia,anno,Pop25Y0,Pop25Y1,Pop25Y2,Pop25Y3,Pop25Y4,Pop25Y5,Pop25Y6,Pop25Y7,Pop25Y8,Pop25Y9,Pop25Y10,Pop25Y11,Pop25Y12,Pop25Y13,Pop25Y14,Pop25Y15,Pop25Y16,Pop25Y17,Pop25Y18,Pop25Y19,Pop25Y20,nr Studenti Superiori,Indice di svantaggio,Stipendio Medio
Nord,Liguria,Genova,GE,32054,86.62,13.38,15513,16541,187.099.285.714.286,1568,483.964.559.805.328,516.035.440.194.672,2041,808,2849,71.64,28.36,4240,3027,1213,71.39,28.61,222,20,242,209.940.736.319.216,198.800.658.343.052,17.855.562.089.972,185.725.311.310.584,14.9,96.3,34.7,9.7,75.3,24506.8,25579.5,27105.5,0.5,-0.9,167.9,2,4.5,74.3,11,39.3,44.2,0.9,1.5,83.3,49.8,27,507,10.3,73.6,22,12,79.4,7.5,316.2,129.7,0.3,1.8,78,4747,52.8,19.3,8.03,7.9,24.5,,40.1,41.4,20.3,ITC33,2025,4647,4698,4804,4899,5073,5162,5281,5647,5699,5905,6277,6330,6616,6566,6935,7254,7319,7210,7390,7443,7484,43551,-1.09,1.866.641
Nord,Liguria,La Spezia,SP,8653,87.55,12.45,4229,4424,159.765.217.391.304,438,488.732.231.595.978,511.267.768.404.022,634,173,807,78.56,21.44,1062,782,280,73.63,26.37,52,7,59,213.330.515.054.163,209.476.613.851.735,177.399.261.292.599,190.565.845.358.267,13.3,96.1,28.4,11.8,74.7,24048.2,21891.5,21205,0.6,0.2,179.1,1.4,5.6,72.3,23.1,39.6,44.2,0.9,2.3,83.4,27.7,22.3,552,10.1,39.8,20,11,78.5,7.2,182.3,100.7,0,4.1,34.4,3589,76.2,95.4,7.99,16.9,13.3,,36.5,38,22.9,ITC34,2025,1228,1252,1226,1300,1370,1402,1458,1598,1592,1579,1628,1735,1777,1787,1792,1851,1901,1860,1974,1835,2020,11213,-0.32,1537.5
Nord,Lombardia,Varese,VA,38196,89.19,10.81,18939,19257,218.807.407.407.407,1707,49.583.726.044.612,50.416.273.955.388,2229,781,3010,74.05,25.95,4345,3114,1231,71.67,28.33,412,40,452,221.849.879.012.366,211.145.665.848.141,187.394.152.695.509,195.465.405.054.453,12,93.1,35.6,10.3,69.5,22765.7,26059,22989,0.5,2.6,317.8,1.6,10.7,75.3,4.9,31,34.9,0.2,1.4,83.9,28.4,23.2,466,8.1,44.1,20,15,83.7,8.6,139.7,176.1,0.3,1.2,31.4,3166,78.1,99.1,21.03,7.5,20.3,38.5,37.7,42.5,18.1,ITC41,2025,5513,5576,5898,6264,6103,6646,6855,7001,7295,7775,7997,8211,8265,8600,8543,9002,8826,8751,8899,8686,8881,52707,-0.86,2163.56
Nord,Lombardia,Como,CO,17869,89.33,10.67,9097,8772,2.024.671.875,859,509.093.961.609.491,490.906.038.390.509,1445,513,1958,73.8,26.2,2085,1645,440,78.9,21.1,118,31,149,227.429.406.005.497,213.211.479.688.212,191.484.046.524.443,198.282.350.671.727,12.8,95.1,34.8,9.9,68.5,22332.4,24241.2,23047.4,0.4,-1.6,365.8,1.2,12.9,73.3,3.2,29.4,33.1,,1.5,84.1,23.1,27.7,468,8.8,44.9,22,15,81.8,8.2,95.5,179.6,0.2,3.6,31.8,2480,71.2,88.3,12.28,13.6,20.7,39.1,35.7,43.3,15.8,ITC42,2025,3743,3805,3912,4060,4197,4385,4525,4752,5084,5194,5228,5369,5627,5634,5760,5949,5972,5858,5902,5895,6011,35336,-0.8,2012.2
Nord,Lombardia,Sondrio,SO,7714,94.26,5.74,3849,3865,198.555.555.555.556,390,498.962.924.552.761,501.037.075.447.239,631,270,901,70.03,29.97,1018,693,325,68.07,31.93,115,11,126,222.576.304.368.088,21.187.942.801.563,18.817.066.451.856,199.114.396.722.116,12.5,97.9,24.5,11.3,68,20976.5,21771.5,22372.4,0.2,-17.6,95.6,3.9,449.6,69.1,3.1,29,23.6,,1.3,83.4,22.4,21.7,476,9.2,60.2,22,16,76.9,8.8,19,123.1,1.4,4.1,11.2,264,55.8,4,2.67,4.1,303.1,38,39.4,42.5,21.6,ITC44,2025,1140,1153,1222,1220,1242,1356,1396,1475,1512,1494,1574,1551,1643,1687,1686,1582,1742,1656,1771,1720,1734,10157,-0.18,
Nord,Lombardia,Milano,MI,112941,83.5,16.5,57301,55640,19.837.825,5408,507.353.396.906.349,492.646.603.093.651,7119,2772,9891,71.97,28.03,13934,9982,3952,71.64,28.36,882,110,992,219.199.392.119.883,207.490.255.451.286,183.597.523.207.561,193.840.263.673.728,17.3,91.8,42.6,9.6,75.6,26348.5,34343,34885.3,0.3,33.4,295,2.5,6.5,76.5,4.5,33.5,35.2,0.5,1.8,84.2,44.3,23.4,464,8.4,78.1,32,21,82.7,6,905.5,131.6,0.5,2.6,128.8,16310,68.7,49.2,31.88,9.8,18.8,41.6,33.5,41.7,17.1,ITC45,2025,21335,21742,22678,23224,23273,24479,25726,26532,27439,28289,28817,28907,29925,30306,31063,31808,32122,31652,32297,32033,33167,190975,-1.98,1928.56
Nord,Lombardia,Bergamo,BG,43955,87.13,12.87,22634,21321,206.555.614.035.088,2074,514.935.729.723.581,485.064.270.276.419,2879,1050,3929,73.28,26.72,5080,3843,1237,75.65,24.35,441,31,472,224.624.410.714.118,213.416.522.453.798,190.203.146.926.269,198.233.795.249.766,8.7,92.5,25,11.3,57.4,22531.8,26083.3,23867.1,0.5,-2.8,291.3,2.8,19.8,73,2.6,33.9,35.2,0.5,1.8,83.6,23.8,22.9,464,5.6,54.2,26,20,84.2,6.6,96,176.2,0.5,2.5,40.1,3145,80.5,98.3,11.97,6.9,25.8,44.5,34.5,44.7,12.4,ITC46,2025,7378,7481,7701,8026,8101,8705,8960,9536,9836,9964,10539,10651,11109,11522,11747,12104,12010,11911,12050,11857,11939,71679,-0.4,2115.94
Nord,Lombardia,Brescia,BS,48642,85.8,14.2,24983,23659,187.506.932.153.392,2369,513.609.637.761.605,486.390.362.238.395,3186,1391,4577,69.61,30.39,5980,4349,1631,72.73,27.27,388,53,441,225.084.060.594.184,213.233.676.773.097,188.489.938.660.633,199.094.898.503.104,7.9,94.4,26.7,10.2,62.8,21628.8,24587.7,22705.5,0.5,-2.4,356,2.8,28.6,72,4.5,37.5,39.3,0.5,1.5,84.1,29.6,28.1,530,6,42.1,31,21,82.3,6.3,169.5,196,0.7,5,45.1,6519,77.2,98.1,10.5,7.6,25.3,45.3,36.2,45.6,11.5,ITC47,2025,8326,8704,8897,9133,9432,9768,10265,10621,11081,11406,11556,11874,12159,12603,13284,13384,13448,13462,13467,12965,13220,80010,-0.4,1733.77
Nord,Lombardia,Pavia,PV,19476,84.07,15.93,9472,10004,184.528.968.253.968,978,486.342.164.715.547,513.657.835.284.453,1433,434,1867,76.75,23.25,2465,1760,705,71.4,28.6,159,28,187,21.700.239.424.417,202.789.609.012.721,181.018.629.552.023,190.989.108.223.914,8,91.2,26.1,16.2,63.9,23004,22843.5,21323.2,0.6,3.3,370.6,2.4,23.7,72.9,7.8,35.7,40.1,1.3,1.8,82.3,43.8,21.9,491,9.8,35.3,29,19,81.5,6.4,179.2,120.9,0.3,4.9,39.8,3544,59.9,37,9.57,7.3,24.7,38.5,37.7,37.1,22,ITC48,2025,3320,3350,3592,3552,3665,3885,4073,4151,4354,4555,4481,4613,4768,4764,4907,5125,5157,5010,5038,5132,5101,30369,-0.09,1888.67
Nord,Lombardia,Lecco,LC,12896,91.68,8.32,6348,6548,202.875,608,492.245.657.568.238,507.754.342.431.762,875,362,1237,70.74,29.26,1512,1093,419,72.29,27.71,105,10,115,230.088.347.402.134,217.676.507.228.278,196.545.750.579.569,20.487.042.900.565,15.1,94.5,35.9,9.2,66.3,23724,26766.8,24704.8,0.4,-7.9,307,3,8.1,73.5,2.7,27.2,28.3,0.6,1.3,84.4,24.6,19.2,489,4.6,36.2,19,14,84.9,6.3,67.2,132.1,0.9,3,33,2122,78.6,96.3,12.06,8.6,15.8,44.9,32.6,43.6,12.6,ITC43,2025,2060,2080,2141,2158,2248,2433,2472,2728,2670,2969,2820,2981,3135,3198,3380,3371,3445,3396,3334,3458,3314,20384,-0.98,2016.67
Nord,Lombardia,Lodi,LO,9812,86.76,13.24,4650,5162,183.725.490.196.078,518,473.909.498.573.176,526.090.501.426.824,695,240,935,74.33,25.67,1276,826,450,64.73,35.27,68,10,78,220.122.217.284.566,208.181.294.715.136,184.470.795.784.193,195.545.362.317.856,9.1,92.7,22.4,13.4,59.2,23182.4,25459.9,20091.3,0.6,-1.4,253.4,0.9,50.2,73.1,11.6,34.3,38.2,0.4,1.7,83.4,21.9,19.1,422,7.8,41,30,21,84.4,6.8,95.2,191.1,0,3.3,35.8,1022,74.8,99.8,12.36,5.1,56.7,40.8,36.3,40.4,17.5,ITC49,2025,1574,1547,1661,1726,1696,1854,1852,1988,2099,2124,2191,2140,2211,2250,2274,2473,2329,2376,2346,2351,2369,14149,0.03,2000
Nord,Trentino-Alto Adige,Trento,TN,,,,,,,,,,,,,,,,,,,,,,,229.552.017.210.744,212.232.961.377.497,188.665.667.470.284,19.748.937.153.454,17.1,95.8,35.1,9.7,75.3,22854,22434.9,24944.2,0.2,1.8,183.6,1.8,92,75.6,15.3,32,30.9,0.6,1,84.5,25.7,21,493,7.1,77.6,22,15,75.9,6.3,93.6,87.2,0.7,3.5,16.7,3707,81.2,98.3,3.36,8.1,400.9,58.4,34.8,46.3,13.1,ITD20,2025,3750,3818,4074,4255,4185,4371,4476,4682,4866,4959,5058,5300,5418,5494,5684,5648,5683,5552,5628,5749,5872,33944,,1669.08
Nord,Veneto,Verona,VR,35711,86.51,13.49,18541,17170,20.935.119.047.619,1592,519.195.766.010.473,480.804.233.989.527,2245,785,3030,74.09,25.91,4108,3137,971,76.36,23.64,293,46,339,224.241.891.719.244,213.575.972.288.232,189.661.341.172.943,198.100.822.214.944,13.3,94.5,34.6,10.4,70.4,21937.5,24239,24656,0.4,1.7,374.7,3.1,24.3,77.9,6.4,33.8,33.4,0.4,1.6,84,37.3,29.5,501,5.3,61.4,32,20,80.7,6.1,205,158.8,1.1,3.4,51.5,3048,72.4,71.7,13.38,16,28,,31.4,41.6,14.2,ITD31,2025,6175,6237,6570,6870,7007,7293,7645,7887,8124,8374,8443,8413,8754,8943,9312,9356,9478,9341,9336,9448,9420,56271,-0.99,1623.81
Nord,Veneto,Vicenza,VI,39187,90.26,9.74,19782,19405,19.855.462.962.963,1826,504.810.268.711.563,495.189.731.288.437,2350,962,3312,70.95,29.05,4855,3591,1264,73.96,26.04,442,116,558,226.924.028.585.208,213.807.631.963.776,188.199.876.792.632,198.362.865.503.203,13.8,94.4,31.9,12.3,68.4,21769.3,25652.2,24987.5,0.7,-9.5,304.7,2.3,14.5,75.5,5.7,30.5,31.8,0.1,1.2,84.2,22.4,29.2,447,6.3,53.6,32,25,84.5,6.3,88.2,130.1,0.4,5.2,28.5,3300,79.4,98.9,12.53,8.9,28.4,,32.9,45.3,12.5,ITD32,2025,5744,5725,6048,6282,6231,6314,6650,6760,6953,7240,7579,7579,7994,8107,8326,8582,8782,8712,8818,8947,9258,52167,-0.77,1853.57
Nord,Veneto,Belluno,BL,7421,93.95,6.05,3541,3880,166.225,429,477.159.412.478.103,522.840.587.521.897,674,368,1042,64.68,35.32,1152,779,373,67.62,32.38,155,37,192,221.519.400.014.651,210.055.791.757.682,187.326.456.101.243,198.865.421.063.239,10.3,96.1,31.7,5.2,69.7,21938.3,23776,24403.7,0.4,-14.8,165.7,4.5,189.3,76.4,6.4,29.7,28.7,0.5,1.5,83.1,25.3,24.1,503,4.3,45,20,12,80.4,6.4,18.7,110,0,4.7,10.1,2093,85.8,100,2.84,4.3,25,,35.8,45.8,8.9,ITD33,2025,1078,1076,1145,1234,1239,1217,1324,1339,1367,1442,1467,1500,1598,1708,1735,1715,1804,1734,1823,1814,1889,10625,-1.01,1700
Nord,Veneto,Treviso,TV,37788,89.43,10.57,18738,19050,198.947.072.072.072,1811,495.871.705.303.271,504.128.294.696.729,2369,888,3257,72.74,27.26,4630,3456,1174,74.64,25.36,466,63,529,225.818.827.976.527,212.244.347.019.213,188.911.925.877.335,198.365.825.259.844,11.5,91.3,24.5,11.6,67,21796,25358.3,23521.7,0.6,-9.6,306,2,25.9,74.7,6.6,33.6,33.7,0.8,1.9,84.4,22.1,25.3,414,8,50.7,32,21,84.2,6.3,53.6,160.9,1.1,5.7,18.7,3029,89.1,100,16.65,14.2,24,,29.1,45.5,16,ITD34,2025,5540,5797,6073,6194,6388,6413,6760,7181,7385,7586,7952,8169,8503,8515,8817,8931,9230,9204,9345,9309,9400,54836,-0.38,1671.22
Nord,Veneto,Venezia,VE,31713,88.39,11.61,15478,16235,200.335.680.751.174,1520,488.064.831.457.131,511.935.168.542.869,2215,798,3013,73.51,26.49,3925,2740,1185,69.81,30.19,448,22,470,22.390.976.474.569,211.712.117.085.449,183.808.665.846.671,193.290.502.048.206,16.6,95.5,30,9.5,66.9,22671.8,22466.4,23894.1,0.6,-11.3,347.9,2.4,17,74.6,7.2,35.1,36.2,0.4,2,83.7,25.3,30,602,7.4,59.5,33,23,77.5,6.3,806.5,110.3,0.9,7.6,52.9,10522,72.9,62.9,14.24,6.1,48.5,,33,42.5,14,ITD35,2025,4738,4950,5149,5417,5405,5537,5875,6143,6412,6467,6580,6879,7258,7579,7614,7766,7995,7972,7913,7849,8191,47109,-0.7,1499.97
Nord,Veneto,Padova,PD,37325,88.9,11.1,18731,18594,203.309.756.097.561,1765,501.835.231.078.366,498.164.768.921.634,2341,840,3181,73.59,26.41,4339,3269,1070,75.34,24.66,406,53,459,227.804.614.557.596,214.801.594.707.783,190.782.859.729.305,202.042.380.935.709,14.4,93.8,38.1,8.3,70.1,22579.8,25486.2,24502.1,0.5,4.1,347.8,2,16.9,76.8,4.9,31.6,31.6,0.6,1.6,84.1,40.4,22.6,517,5.5,64.5,34,25,84.3,6,150,130.5,0.5,2.7,30.1,4481,75.8,77.7,18.61,9.4,44.9,,32.7,48.5,10.3,ITD36,2025,5671,5715,6130,6378,6212,6583,6942,7191,7424,7661,7996,8330,8556,8616,8906,9072,9165,9098,9151,9019,9271,54411,-1.17,1719.49
Nord,Veneto,Rovigo,RO,8462,89.78,10.22,4161,4301,174.046.153.846.154,454,49.172.772.394.233,50.827.227.605.767,649,260,909,71.4,28.6,1184,848,336,71.62,28.38,129,36,165,219.160.079.736.759,208.330.229.043.143,184.729.491.652.268,191.816.119.501.027,6.6,95.4,23.5,17.5,55.3,20668.6,21233.8,19658.1,0.7,-21.4,289.4,2.2,40.4,71.3,10.4,38,37.6,,2,82.8,29.4,23.3,534,10.8,56.5,31,23,80.2,5.5,95.7,128.9,0.5,3.2,16.7,1497,78.3,96.3,8.42,3.3,38,,26.3,43.9,16.5,ITD37,2025,1108,1210,1225,1261,1248,1327,1418,1611,1578,1656,1649,1768,1874,1857,2015,1972,1997,1942,1842,1932,1979,11700,0.21,1550
Nord,Friuli-Venezia Giulia,Udine,UD,20424,90.22,9.78,10398,10026,158.896.666.666.667,1158,509.106.933.019.976,490.893.066.980.024,1613,556,2169,74.37,25.63,2821,2125,696,75.33,24.67,215,14,229,2.273.453.626.094,214.372.259.171.398,189.542.694.576.717,195.741.736.787.855,14.9,94,33.4,10.8,74.3,22645.3,23670,23419,0.6,-5.3,328,2.3,25.7,74.2,6.5,31.1,33.2,0.4,2,83.7,33.2,24.1,533,7.2,58,23,14,81.4,6.4,74.4,123.4,0.7,2.5,19.9,3388,74.6,88.5,6.83,9,22.1,47.9,38,39.3,16.7,ITD42,2025,2834,2823,3015,3065,3269,3243,3410,3551,3769,3784,4062,4146,4304,4280,4539,4656,4567,4634,4707,4733,4753,27836,-0.75,1682.7
